la_code,supergroup,supergroup_code,group,group_code,subgroup,subgroup_code
E07000172,Town and Country Living,7,Town Living,7c,Prosperous Towns,7c2
E07000173,Town and Country Living,7,Town Living,7c,Prosperous Towns,7c2
E07000174,Services and Industrial Legacy,6,"Services, Manufacturing and Mining Legacy",6a,Manufacturing Legacy,6a1
E07000175,Town and Country Living,7,Country Living,7a,Country Living,7a1
E07000176,Affluent England,1,Thriving Rural,1b,Affluent rural,1b1
E06000019,Countryside Living,3,English and Welsh Countryside,3a,Sparse English and Welsh Countryside,3a2
E06000051,Countryside Living,3,English and Welsh Countryside,3a,Sparse English and Welsh Countryside,3a2
E06000021,Urban Settlements,8,Manufacturing Traits,8a,Industrial and Multi-ethnic,8a1
E06000020,Urban Settlements,8,Manufacturing Traits,8a,Urban Living,8a2
E07000192,Services and Industrial Legacy,6,"Services, Manufacturing and Mining Legacy",6a,Manufacturing Legacy,6a1
E07000193,Town and Country Living,7,Country Living,7a,Country Living,7a1
E07000194,Town and Country Living,7,Town Living,7c,Prosperous Towns,7c2
E07000195,Town and Country Living,7,Town Living,7c,Prosperous Towns,7c2
E07000196,Town and Country Living,7,Town Living,7c,Prosperous Semi-rural,7c1
E07000197,Town and Country Living,7,Town Living,7c,Prosperous Towns,7c2
E07000198,Town and Country Living,7,Country Living,7a,Country Living,7a1
E07000199,Services and Industrial Legacy,6,"Services, Manufacturing and Mining Legacy",6a,Manufacturing Legacy,6a1
E07000218,Town and Country Living,7,Country Living,7a,Country Living,7a1
E07000219,Urban Settlements,8,Manufacturing Traits,8a,Urban Living,8a2
E07000220,Urban Settlements,8,Suburban Traits,8b,Expanding Areas,8b2
E07000221,Countryside Living,3,English and Welsh Countryside,3a,Older Farming Communities,3a1
E07000222,"Business, Education and Heritage Centres",2,Larger Towns and Cities,2a,Larger Towns and Cities,2a1
E08000025,Ethnically Diverse Metropolitan Living,4,Ethnically Diverse Metropolitan  Living,4a,Ethnically Diverse Metropolitan  Living,4a1
E08000026,"Business, Education and Heritage Centres",2,Larger Towns and Cities,2a,Larger Towns and Cities,2a1
E08000027,Services and Industrial Legacy,6,"Services, Manufacturing and Mining Legacy",6a,Manufacturing Legacy,6a1
E08000028,Urban Settlements,8,Manufacturing Traits,8a,Industrial and Multi-ethnic,8a1
E08000029,Town and Country Living,7,Town Living,7c,Prosperous Towns,7c2
E08000030,Urban Settlements,8,Manufacturing Traits,8a,Industrial and Multi-ethnic,8a1
E08000031,Urban Settlements,8,Manufacturing Traits,8a,Industrial and Multi-ethnic,8a1
E07000234,Town and Country Living,7,Town Living,7c,Prosperous Semi-rural,7c1
E07000235,Countryside Living,3,English and Welsh Countryside,3a,Older Farming Communities,3a1
E07000236,Urban Settlements,8,Manufacturing Traits,8a,Urban Living,8a2
E07000237,Urban Settlements,8,Manufacturing Traits,8a,Urban Living,8a2
E07000238,Town and Country Living,7,Country Living,7a,Country Living,7a1
E07000239,Town and Country Living,7,Country Living,7a,Country Living,7a1
E06000055,Urban Settlements,8,Suburban Traits,8b,Expanding Areas,8b2
E06000056,Affluent England,1,Thriving Rural,1b,Rural Growth Areas,1b2
E06000032,Ethnically Diverse Metropolitan Living,4,Ethnically Diverse Metropolitan  Living,4a,Ethnically Diverse Metropolitan  Living,4a1
E06000031,Urban Settlements,8,Suburban Traits,8b,Expanding Areas,8b2
E06000033,Urban Settlements,8,Manufacturing Traits,8a,Urban Living,8a2
E06000034,Urban Settlements,8,Suburban Traits,8b,City Periphery,8b1
E07000008,"Business, Education and Heritage Centres",2,University Towns and Cities,2b,University Towns and Cities,2b1
E07000009,Town and Country Living,7,Country Living,7a,Country Living,7a1
