la_name,year,filled_posts,employees,vacant_posts,vacancy_rate,fte_posts,la_code
Blackpool,2017,4100,3900,150.0,0.03742016054543925,2900.0,E06000009
Blackpool,2018,3900,3800,325.0,0.07717500461082955,2700.0,E06000009
Blackpool,2019,4200,4000,,,2900.0,E06000009
Blackpool,2020,4300,3900,150.0,0.03539635104865744,3100.0,E06000009
Blackpool,2021,4300,4000,375.0,0.08394088093120236,3000.0,E06000009
Blackpool,2022,4100,3900,300.0,0.07274289774439269,3000.0,E06000009
Blackpool,2023,3900,3600,250.0,0.06523155994125597,2900.0,E06000009
Kingston upon Hull,2016,5300,4900,150.0,0.03176324790686127,,E06000010
Kingston upon Hull,2017,5100,4900,175.0,0.03419610371580621,3800.0,E06000010
Kingston upon Hull,2018,5300,5100,150.0,0.02744377954539653,3800.0,E06000010
Kingston upon Hull,2019,5500,5100,150.0,0.02974933157160515,3900.0,E06000010
Kingston upon Hull,2020,5500,5000,100.0,0.0218054375413,3900.0,E06000010
Kingston upon Hull,2021,5200,4700,500.0,0.09866845208736826,3600.0,E06000010
Kingston upon Hull,2022,5500,4500,375.0,0.07803760536145152,3900.0,E06000010
Kingston upon Hull,2023,6000,5500,250.0,0.04540049641690956,4500.0,E06000010
East Riding of Yorkshire,2016,9000,8700,250.0,0.02693916813825516,6300.0,E06000011
East Riding of Yorkshire,2017,8700,8200,275.0,0.03250955276720471,6100.0,E06000011
East Riding of Yorkshire,2018,8400,7900,350.0,0.04361926845565388,6000.0,E06000011
East Riding of Yorkshire,2019,8600,8100,550.0,0.06190191038261712,6000.0,E06000011
East Riding of Yorkshire,2020,8800,8100,700.0,0.07906816297537961,6100.0,E06000011
East Riding of Yorkshire,2021,8300,7600,850.0,0.10204548174183,5900.0,E06000011
East Riding of Yorkshire,2022,8500,7900,800.0,0.09315873470663866,6200.0,E06000011
East Riding of Yorkshire,2023,8600,8200,550.0,0.06393469068151134,6400.0,E06000011
North East Lincolnshire,2016,3500,3300,150.0,0.04457514388168593,2500.0,E06000012
North East Lincolnshire,2017,3900,3700,150.0,0.03654256947840841,2900.0,E06000012
North East Lincolnshire,2018,3700,3500,150.0,0.0389526058223255,2600.0,E06000012
North East Lincolnshire,2019,3800,3600,125.0,0.03448452254379841,2700.0,E06000012
North East Lincolnshire,2020,4200,3900,125.0,0.03358928783252365,3100.0,E06000012
North East Lincolnshire,2021,4200,3900,350.0,0.08329435742132531,3000.0,E06000012
North East Lincolnshire,2022,4600,4400,350.0,0.07204357304795797,3400.0,E06000012
North East Lincolnshire,2023,5100,4700,275.0,0.05618908169000083,3800.0,E06000012
North Lincolnshire,2016,3300,3100,100.0,0.03121680665428376,2500.0,E06000013
North Lincolnshire,2017,3300,3200,125.0,0.03941293153972351,2400.0,E06000013
North Lincolnshire,2018,3200,3000,175.0,0.05128389013314033,2300.0,E06000013
North Lincolnshire,2019,3300,3200,175.0,0.05351259732228613,2500.0,E06000013
North Lincolnshire,2020,3300,3100,125.0,0.04138451518322853,2500.0,E06000013
North Lincolnshire,2021,3300,3100,275.0,0.08335340373758855,2500.0,E06000013
North Lincolnshire,2022,3400,3100,175.0,0.05743400112157823,2600.0,E06000013
North Lincolnshire,2023,3400,3100,175.0,0.05179435055609542,2600.0,E06000013
York,2016,4500,3900,275.0,0.06440742114815118,3200.0,E06000014
York,2017,4400,4000,200.0,0.04887689639069258,3200.0,E06000014
York,2018,4500,4100,275.0,0.06414159948003136,3200.0,E06000014
York,2019,4900,4400,225.0,0.04773669741304904,3500.0,E06000014
York,2020,5000,4600,350.0,0.06884212633512281,3700.0,E06000014
York,2021,5000,4500,425.0,0.08872002462458427,3700.0,E06000014
York,2022,4700,4300,500.0,0.10572178684557784,3600.0,E06000014
York,2023,5000,4700,225.0,0.04738144396837304,3800.0,E06000014
Derby,2016,6000,5400,425.0,0.07412969078570268,,E06000015
Derby,2017,6300,6000,550.0,0.08244270795410824,,E06000015
Derby,2018,6700,6400,700.0,0.09849322319487859,,E06000015
Derby,2019,7700,7200,500.0,0.06749413122927327,,E06000015
Derby,2020,7900,7000,,,,E06000015
Derby,2021,6900,6200,650.0,0.09358620007853542,,E06000015
Derby,2022,6900,6400,650.0,0.09388674450110762,,E06000015
Derby,2023,7700,6900,750.0,0.09633280987067812,5900.0,E06000015
Leicester,2016,12000,11500,700.0,0.05848046593425806,7700.0,E06000016
Leicester,2017,11500,11000,,,7800.0,E06000016
Leicester,2018,11500,11000,,,8100.0,E06000016
Leicester,2019,12500,10500,600.0,0.05434341931768701,8500.0,E06000016
Leicester,2020,13000,11500,,,9300.0,E06000016
Leicester,2021,11500,11000,1600.0,0.13067681090588934,8000.0,E06000016
Leicester,2022,11500,10500,850.0,0.07784829791549291,,E06000016
Leicester,2023,12000,10500,850.0,0.07277811769549128,8700.0,E06000016
Rutland,2016,900,750,75.0,0.07505460059067062,,E06000017
Rutland,2017,850,800,50.0,0.06170340338350436,,E06000017
Rutland,2018,850,800,75.0,0.07750653759661283,,E06000017
Rutland,2019,950,900,75.0,0.08756442030278169,,E06000017
Rutland,2020,1100,900,75.0,0.08088060839097619,,E06000017
Rutland,2021,1000,850,150.0,0.145709089930115,,E06000017
Rutland,2022,1000,850,,,,E06000017
Rutland,2023,1100,950,100.0,0.09583309008066397,750.0,E06000017
Nottingham,2016,8200,7700,,,5700.0,E06000018
Nottingham,2017,8200,7800,,,6000.0,E06000018
Nottingham,2018,8700,8300,,,6500.0,E06000018
Nottingham,2019,9400,8700,,,7000.0,E06000018
Nottingham,2020,9800,9200,,,7100.0,E06000018
Nottingham,2021,9500,8900,,,6900.0,E06000018
Nottingham,2022,9900,8800,,,7400.0,E06000018
Nottingham,2023,9900,9000,2000.0,0.1825335105852246,7400.0,E06000018
Herefordshire,2016,5300,4800,200.0,0.03846634312979839,3800.0,E06000019
Herefordshire,2017,5200,4800,200.0,0.04124998454150333,3800.0,E06000019
Herefordshire,2018,5300,5000,225.0,0.04090613448763207,3800.0,E06000019
Herefordshire,2019,5600,5200,300.0,0.05592572351789399,3900.0,E06000019
Herefordshire,2020,5600,5200,175.0,0.03341371206780736,4100.0,E06000019
Herefordshire,2021,5200,4900,400.0,0.07728666269047382,3800.0,E06000019
Herefordshire,2022,5000,4700,300.0,0.0604149893695109,3700.0,E06000019
